Market,Action,Quantity,Notes,Time
ZC,BUY,1.0,Buy 1 contracts,07:28:04
FLKTB,BUY,2.0,Buy 2 contracts,07:28:04
3KTB,BUY,15.0,Buy 15 contracts,07:28:04
ZS,BUY,1.0,Buy 1 contracts,07:28:04
V2TX,SELL,1.0,Sell 1 contracts,07:28:04
ZW,BUY,2.0,Buy 2 contracts,07:28:04
ZS,BUY,1.0,Buy 1 contracts,09:09:47
V2TX,SELL,1.0,Sell 1 contracts,09:09:47
V2TX,SELL,1.0,Sell 1 contracts,09:15:56
