Market,Action,Quantity,Notes,Time
AUD,BUY,1.0,Buy 1 contracts,01:47:02
BTP,SELL,1.0,Sell 1 contracts,01:47:02
CL,SELL,1.0,Sell 1 contracts,01:47:02
GBP,BUY,1.0,Buy 1 contracts,01:47:02
JPY,BUY,1.0,Buy 1 contracts,01:47:02
ZS,BUY,1.0,Buy 1 contracts,01:47:02
ZB,BUY,1.0,Buy 1 contracts,01:47:02
AUD,BUY,1.0,Buy 1 contracts,02:11:26
BTP,SELL,1.0,Sell 1 contracts,02:11:26
JPY,BUY,1.0,Buy 1 contracts,02:11:26
AUD,BUY,1.0,Buy 1 contracts,02:11:37
BTP,SELL,1.0,Sell 1 contracts,02:11:37
BTP,SELL,1.0,Sell 1 contracts,02:12:09
