1975-01-31,-1.9362922880827766
1975-02-28,-1966.0232586666848
1975-03-31,-1152.3426344439429
1975-04-30,14145.733949638096
1975-05-31,-7500.693080718836
1975-06-30,8080.8278742940565
1975-07-31,-3338.7523489218547
1975-08-31,14716.959771992366
1975-09-30,55240.29021879284
1975-10-31,-9052.62459393702
1975-11-30,12358.513522380337
1975-12-31,-15383.91445193945
1976-01-31,-1999.7908186946152
1976-02-29,-7865.48012460224
1976-03-31,-15818.321785354909
1976-04-30,25719.314755121857
1976-05-31,17760.814052987538
1976-06-30,6932.743120886003
1976-07-31,42156.39597893774
1976-08-31,18395.074628977305
1976-09-30,43682.510409313014
1976-10-31,17091.668146348333
1976-11-30,-11250.074642298287
1976-12-31,-2964.3127204246894
1977-01-31,8454.083174806932
1977-02-28,-8690.92820043783
1977-03-31,22003.07151966601
1977-04-30,4696.07234935467
1977-05-31,-14727.36261290781
1977-06-30,42812.35078611216
1977-07-31,40202.73400557644
1977-08-31,-12712.33793768083
1977-09-30,29093.068675859155
1977-10-31,141749.6452000835
1977-11-30,6188.795784747892
1977-12-31,42940.94713209954
1978-01-31,-29089.115882413684
1978-02-28,-7604.461899077579
1978-03-31,3918.5381258636144
1978-04-30,-7067.168917213926
1978-05-31,-7944.211346872391
1978-06-30,23059.587769346013
1978-07-31,58167.782579659004
1978-08-31,-4424.379734137536
1978-09-30,-2015.1969766723687
1978-10-31,68613.61005161025
1978-11-30,-39919.12678362578
1978-12-31,2851.84708197829
1979-01-31,-7358.432695126516
1979-02-28,1108.8692737771762
1979-03-31,42737.67475385021
1979-04-30,38142.95664958388
1979-05-31,-16190.908434811403
1979-06-30,26470.863909946176
1979-07-31,7517.312610830726
1979-08-31,10412.767127103203
1979-09-30,25995.192512932892
1979-10-31,61401.83461858626
1979-11-30,27509.546735454045
1979-12-31,-16045.582041152978
1980-01-31,81771.35796218125
1980-02-29,41171.59429834663
1980-03-31,-9190.241563983887
1980-04-30,-24161.173994218712
1980-05-31,21706.004951503004
1980-06-30,1002.9225810350545
1980-07-31,-25142.875839753273
1980-08-31,4976.460601149694
1980-09-30,-12399.55917664204
1980-10-31,6074.580668978073
1980-11-30,-29195.655072246835
1980-12-31,-6012.970164574323
1981-01-31,19339.136816525504
1981-02-28,31750.39448464648
1981-03-31,-25432.423501658875
1981-04-30,52558.479639055884
1981-05-31,44562.069084684736
1981-06-30,112532.05361836278
1981-07-31,87135.19461073694
1981-08-31,-27415.70575363119
1981-09-30,-20410.89750284195
1981-10-31,-36457.93633003748
1981-11-30,-5355.466701056544
1981-12-31,-9042.779946570266
1982-01-31,33342.45323903239
1982-02-28,55517.073722625675
1982-03-31,69867.78281701983
1982-04-30,-45382.58897520358
1982-05-31,18169.726748401965
1982-06-30,44676.06209908838
1982-07-31,-15757.843275363277
1982-08-31,-5969.618528140249
1982-09-30,17.984364142587992
1982-10-31,25321.23401470471
1982-11-30,-22025.028744260562
1982-12-31,4602.560428791238
1983-01-31,9260.864174160546
1983-02-28,10665.847537270147
1983-03-31,-8448.457105483101
1983-04-30,2077.763065832384
1983-05-31,-32583.328058323405
1983-06-30,-16416.48630931782
1983-07-31,21354.28367046164
1983-08-31,-1003.5087631867045
1983-09-30,-11647.642258717424
1983-10-31,-4800.7655661455
1983-11-30,-14250.649757960182
1983-12-31,5349.789742837603
1984-01-31,5756.527420097307
1984-02-29,-33441.99958047125
1984-03-31,-3112.7586706810416
1984-04-30,17754.10320315043
1984-05-31,23250.0803372344
1984-06-30,32365.898080516537
1984-07-31,61278.90250353003
1984-08-31,-17367.11637523654
1984-09-30,23053.19366877619
1984-10-31,45803.32880757695
1984-11-30,6688.29087263205
1984-12-31,56359.50286929946
1985-01-31,34939.901950548636
1985-02-28,-5663.6301917592755
1985-03-31,-40767.33713702858
1985-04-30,-1721.3991453823046
1985-05-31,43829.44312458568
1985-06-30,-4101.677310311588
1985-07-31,-10679.393951776048
1985-08-31,-585.7167939512256
1985-09-30,-25489.994120457122
1985-10-31,45200.75950998612
1985-11-30,60209.212982684054
1985-12-31,31089.733784454187
1986-01-31,-12525.136471325099
1986-02-28,84988.33286260808
1986-03-31,60068.16530082708
1986-04-30,-15219.012013578365
1986-05-31,-45551.44532402277
1986-06-30,15327.973965756022
1986-07-31,25686.034128255247
1986-08-31,33766.91790247294
1986-09-30,-51309.27900133477
1986-10-31,5973.680150206474
1986-11-30,14771.071272070662
1986-12-31,29689.853649147473
1987-01-31,33875.81556351849
1987-02-28,34798.574738861775
1987-03-31,-14416.672233701209
1987-04-30,5841.499742788112
1987-05-31,3992.4384164148164
1987-06-30,-4345.9866742388
1987-07-31,-3772.057111165164
1987-08-31,7225.883556482186
1987-09-30,-36659.96425669218
1987-10-31,-15491.254230989325
1987-11-30,24188.219480398886
1987-12-31,23511.600823679175
1988-01-31,-13910.372738267306
1988-02-29,30853.305345269837
1988-03-31,-2278.5546348334688
1988-04-30,-152.83300571656082
1988-05-31,27056.251884897974
1988-06-30,23591.16078514346
1988-07-31,-21054.089777795376
1988-08-31,130.56096734569212
1988-09-30,19962.657606254263
1988-10-31,4263.545839292648
1988-11-30,15106.969698822939
1988-12-31,-9558.516402869893
1989-01-31,20605.8913172999
1989-02-28,-30061.988759118452
1989-03-31,638.2391109728869
1989-04-30,-3372.465953566978
1989-05-31,66655.94383742596
1989-06-30,-4950.222086266607
1989-07-31,14887.900524827772
1989-08-31,-23389.356077374377
1989-09-30,-8432.072018089897
1989-10-31,-313.77782834470963
1989-11-30,-10531.963206535765
1989-12-31,11862.82379976343
