Date,Settle,Open,High,Low,Volume,Interest
2016-08-22,445.3,0.0,,,,
2016-08-23,449.85,0.0,0.0,0.0,0.0,
2016-08-24,449.85,0.0,0.0,0.0,0.0,
2016-08-25,447.65,0.0,0.0,0.0,0.0,
2016-08-26,450.65,0.0,0.0,0.0,0.0,
2016-08-29,449.85,0.0,0.0,0.0,0.0,
2016-08-30,453.5,453.7,455.4,453.7,25.0,
2016-08-31,452.05,0.0,0.0,0.0,0.0,25.0
2016-09-01,451.5,0.0,0.0,0.0,0.0,25.0
2016-09-02,461.25,453.2,458.9,453.2,2.0,25.0
2016-09-05,461.8,0.0,0.0,0.0,0.0,27.0
2016-09-06,458.75,462.7,462.75,462.7,9.0,27.0
2016-09-07,460.95,0.0,0.0,0.0,0.0,36.0
2016-09-08,457.15,0.0,0.0,0.0,0.0,36.0
2016-09-09,450.6,455.5,455.6,452.6,86.0,36.0
2016-09-12,445.35,441.45,443.1,441.3,51.0,121.0
2016-09-13,440.3,444.6,445.2,442.4,126.0,170.0
2016-09-14,438.8,442.2,442.2,438.0,152.0,211.0
2016-09-15,441.0,439.5,441.95,438.0,40.0,330.0
2016-09-16,436.9,440.1,441.6,436.05,37.0,343.0
2016-09-19,442.5,440.85,442.35,440.85,6.0,348.0
2016-09-20,442.3,441.8,443.7,441.75,29.0,351.0
2016-09-21,445.4,445.0,447.95,445.0,38.0,368.0
2016-09-22,453.35,449.65,452.45,449.65,36.0,370.0
2016-09-23,452.35,451.9,452.95,451.9,64.0,384.0
2016-09-26,445.75,446.1,446.5,445.5,7.0,426.0
2016-09-27,445.75,443.1,445.9,443.1,4.0,429.0
2016-09-28,448.2,447.3,452.5,447.3,52.0,429.0
2016-09-29,449.45,453.3,453.65,444.1,26.0,430.0
2016-09-30,450.2,443.85,450.45,442.75,67.0,446.0
2016-10-03,450.85,452.3,452.3,450.85,27.0,491.0
2016-10-04,456.2,454.85,456.9,452.3,14.0,517.0
2016-10-05,454.0,454.9,454.9,450.3,5.0,517.0
2016-10-06,452.75,452.7,454.2,452.7,5.0,518.0
2016-10-07,448.0,452.0,452.05,447.4,53.0,519.0
2016-10-10,453.2,448.75,453.15,448.25,51.0,535.0
2016-10-11,449.2,454.8,454.8,447.6,12.0,585.0
2016-10-12,448.6,449.8,450.15,449.35,8.0,575.0
2016-10-13,443.2,445.4,446.2,440.95,149.0,591.0
2016-10-14,448.55,445.4,451.35,445.05,73.0,641.0
2016-10-17,446.1,446.85,448.7,444.95,7181.0,694.0
2016-10-18,451.25,447.65,454.35,447.5,23719.0,6110.0
2016-10-20,454.25,453.4,455.4,450.5,16143.0,47574.0
2016-10-21,455.6,454.0,456.95,453.2,30050.0,56173.0
2016-10-24,457.95,456.0,461.4,456.0,24318.0,61023.0
2016-10-25,457.5,459.55,460.35,456.65,22383.0,61695.0
2016-10-26,454.0,457.25,457.45,451.1,34035.0,60532.0
2016-10-27,454.35,452.05,458.1,451.3,31710.0,62579.0
2016-10-28,454.0,452.8,454.65,429.5,42569.0,61809.0
2016-10-31,451.2,451.55,452.6,449.95,18326.0,64999.0
2016-11-01,448.35,452.6,456.75,445.5,38445.0,61713.0
2016-11-02,442.4,445.7,446.2,440.95,35292.0,64299.0
2016-11-03,440.95,443.25,446.3,439.0,33069.0,65570.0
2016-11-04,439.15,440.85,440.85,436.05,36266.0,66698.0
2016-11-07,446.85,444.7,447.5,443.8,28224.0,65030.0
2016-11-08,448.8,446.85,451.4,445.45,27644.0,65330.0
2016-11-09,453.0,430.0,455.75,425.2,84298.0,63823.0
2016-11-10,450.0,457.25,459.5,447.8,59956.0,66710.0
2016-11-11,445.4,452.05,453.45,444.05,38347.0,67725.0
2016-11-14,446.75,449.05,451.65,445.7,46900.0,65198.0
2016-11-15,450.55,448.45,452.95,447.7,56427.0,68122.0
2016-11-16,449.65,453.05,453.45,447.2,61345.0,69126.0
2016-11-17,451.8,449.95,453.35,447.1,34557.0,55033.0
2016-11-18,450.73,452.9,453.85,448.9,6049.0,18213.0
