DATE,IB_CAPITAL,OFFSET
20170203,469156.37,50000.0
20170204,469156.37,50000.0
20170208,466604.69,50000.0
20170209,465895.06,50000.0
20170210,467858.58,50000.0
20170211,468547.85,50000.0
20170212,468493.61,50000.0
20170214,468102.18,50000.0
20170215,471461.38,50000.0
20170216,472100.38,50000.0
20170217,471816.76,50000.0
20170218,472045.88,50000.0
20170220,475478.53,50000.0
20170221,476000.43,50000.0
20170222,479381.64,50000.0
20170223,476714.44,50000.0
20170224,472947.96,50000.0
20170226,475292.08,50000.0
20170228,476954.01,50000.0
20170301,462847.42,40000.0
20170302,458897.14,40000.0
20170303,459003.04,40000.0
20170305,459071.28,40000.0
20170307,460359.05,40000.0
20170308,460012.31,40000.0
20170309,458322.98,40000.0
20170310,456623.53,40000.0
20170312,455507.26,40000.0
20170314,457452.8,40000.0
20170315,454317.58,40000.0
20170316,440147.37,30000.0
20170317,440892.52,30000.0
20170319,440490.82,30000.0
20170321,437470.14,30000.0
20170322,405739.57,0.0
20170323,409360.6,0.0
20170324,409879.0,0.0
20170326,410636.04,0.0
20170328,411090.55,0.0
20170329,411531.15,0.0
20170330,415711.21,0.0
20170331,414095.65,0.0
20170402,412548.89,0.0
20170404,413808.3,0.0
20170405,412472.22,0.0
20170406,410335.63,0.0
20170407,416851.92,0.0
20170408,416855.15,0.0
20170411,411788.52,0.0
20170412,410779.1,0.0
20170413,412270.05,0.0
20170414,411512.53,0.0
20170416,411559.18,0.0
20170418,415897.25,0.0
20170419,417501.72,0.0
20170420,414832.6,0.0
20170421,418797.59,0.0
20170422,419445.94,0.0
20170424,419804.32,0.0
20170425,419298.47,0.0
20170426,413049.57,0.0
20170427,416054.01,0.0
20170428,418215.65,0.0
20170501,419664.55,0.0
20170502,417044.48,0.0
20170503,418399.5,0.0
20170504,417965.97,0.0
20170505,421512.74,0.0
20170506,417752.79,0.0
20170507,417757.26,0.0
20170509,420824.69,0.0
20170510,421945.05,0.0
20170511,420459.3,0.0
20170512,416807.91,0.0
20170530,414761.8,0.0
20170809,400301.28,0.0
20170817,400056.88,0.0
20170827,401400.34,0.0
20170829,402891.71,0.0
