CONTRACT,MATURITY,QUANTITY
AEX,201704,0
AUD,201706,0
BOBL,201706,2
BTP,201706,2
BUND,201706,1
CAC,201704,1
COPPER,201706,0
CORN,201712,-2
CRUDE_W,201712,0
EDOLLAR,202003,0
EUR,201706,0
EUROSTX,201706,0
GAS_US,201706,0
GBP,201706,-1
GOLD,201706,0
JPY,201706,0
KOSPI,201706,0
KR10,201706,0
KR3,201706,0
LEANHOG,201706,-1
LIVECOW,201710,2
MXP,201706,5
NASDAQ,201706,1
NZD,201706,0
OAT,201706,2
PALLAD,201706,0
PLAT,201707,0
SMI,201706,0
SOYBEAN,201711,-2
SP500,201706,0
US10,201706,0
US2,201706,4
US20,201706,0
US5,201706,0
V2X,201705,-14
VIX,201706,-3
WHEAT,201712,-4
