CONTRACT,MATURITY,QUANTITY
AEX,201705,0
AUD,201706,0
BOBL,201706,1
BTP,201706,1
BUND,201706,0
CAC,201705,0
COPPER,201706,0
CORN,201712,-1
CRUDE_W,201712,-1
EDOLLAR,202003,0
EUR,201706,0
EUROSTX,201706,0
GAS_US,201707,-1
GBP,201706,0
GOLD,201706,0
JPY,201706,-1
KOSPI,201706,0
KR10,201706,0
KR3,201706,1
LEANHOG,201706,-1
LIVECOW,201710,2
MXP,201706,3
NASDAQ,201706,1
NZD,201706,0
OAT,201706,1
PALLAD,201706,0
PLAT,201707,0
SMI,201706,0
SOYBEAN,201711,0
SP500,201706,0
US10,201706,0
US2,201706,5
US20,201706,0
US5,201706,0
V2X,201706,-10
VIX,201707,-3
WHEAT,201712,-2
