Date,Settle,Open,High,Low,Volume,Prev. Day Open Interest
2016-09-09,133.31,0.0,0.0,0.0,0.0,0.0
2016-09-12,133.22,0.0,0.0,0.0,0.0,0.0
2016-09-13,131.65,0.0,0.0,0.0,0.0,0.0
2016-09-14,131.79,0.0,0.0,0.0,0.0,0.0
2016-09-15,131.8,0.0,0.0,0.0,0.0,0.0
2016-09-16,131.94,0.0,0.0,0.0,0.0,0.0
2016-09-19,131.88,0.0,0.0,0.0,0.0,0.0
2016-09-20,131.96,0.0,0.0,0.0,0.0,0.0
2016-09-21,131.88,0.0,0.0,0.0,0.0,0.0
2016-09-22,132.17,0.0,0.0,0.0,0.0,0.0
2016-09-23,132.16,0.0,0.0,0.0,0.0,0.0
2016-09-26,132.28,0.0,0.0,0.0,0.0,0.0
2016-09-27,132.49,0.0,0.0,0.0,0.0,0.0
2016-09-28,132.5,0.0,0.0,0.0,0.0,0.0
2016-09-29,132.39,0.0,0.0,0.0,0.0,0.0
2016-09-30,132.34,0.0,0.0,0.0,0.0,0.0
2016-10-03,132.3,0.0,0.0,0.0,0.0,0.0
2016-10-04,132.34,0.0,0.0,0.0,0.0,0.0
2016-10-05,132.04,0.0,0.0,0.0,0.0,0.0
2016-10-06,132.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,131.94,0.0,0.0,0.0,0.0,0.0
2016-10-10,131.86,0.0,0.0,0.0,0.0,0.0
2016-10-11,131.87,0.0,0.0,0.0,0.0,0.0
2016-10-12,131.74,0.0,0.0,0.0,0.0,0.0
2016-10-13,131.84,0.0,0.0,0.0,0.0,0.0
2016-10-14,131.81,0.0,0.0,0.0,0.0,0.0
2016-10-17,131.85,0.0,0.0,0.0,0.0,0.0
2016-10-18,131.93,0.0,0.0,0.0,0.0,0.0
2016-10-19,131.94,0.0,0.0,0.0,0.0,0.0
2016-10-20,131.99,0.0,0.0,0.0,0.0,0.0
2016-10-21,131.93,0.0,0.0,0.0,0.0,0.0
2016-10-24,131.86,0.0,0.0,0.0,0.0,0.0
2016-10-25,131.86,0.0,0.0,0.0,0.0,0.0
2016-10-26,131.6,0.0,0.0,0.0,0.0,0.0
2016-10-27,131.36,0.0,0.0,0.0,0.0,0.0
2016-10-28,131.32,0.0,0.0,0.0,0.0,0.0
2016-10-31,131.36,0.0,0.0,0.0,0.0,0.0
2016-11-01,131.27,0.0,0.0,0.0,0.0,0.0
2016-11-02,131.48,0.0,0.0,0.0,0.0,0.0
2016-11-03,131.38,0.0,0.0,0.0,0.0,0.0
2016-11-04,131.5,0.0,0.0,0.0,0.0,0.0
2016-11-07,131.44,0.0,0.0,0.0,0.0,0.0
2016-11-08,131.36,0.0,0.0,0.0,0.0,0.0
2016-11-09,131.47,0.0,0.0,0.0,0.0,0.0
2016-11-10,131.1,0.0,0.0,0.0,0.0,0.0
2016-11-11,130.95,0.0,0.0,0.0,0.0,0.0
2016-11-14,130.89,0.0,0.0,0.0,0.0,0.0
2016-11-15,130.98,0.0,0.0,0.0,0.0,0.0
2016-11-16,130.95,0.0,0.0,0.0,0.0,0.0
2016-11-17,131.08,0.0,0.0,0.0,0.0,0.0
2016-11-18,131.18,131.18,131.18,131.18,0.0,0.0
2016-11-21,131.2,0.0,0.0,0.0,0.0,0.0
2016-11-22,131.5,0.0,0.0,0.0,0.0,0.0
2016-11-23,131.3,0.0,0.0,0.0,0.0,0.0
2016-11-24,131.5,0.0,0.0,0.0,0.0,0.0
2016-11-25,131.6,0.0,0.0,0.0,0.0,0.0
2016-11-28,131.8,0.0,0.0,0.0,0.0,0.0
2016-11-29,131.7,0.0,0.0,0.0,0.0,0.0
2016-11-30,131.68,0.0,0.0,0.0,0.0,0.0
2016-12-01,131.59,0.0,0.0,0.0,0.0,0.0
2016-12-02,131.62,0.0,0.0,0.0,0.0,0.0
2016-12-05,131.44,0.0,0.0,0.0,0.0,0.0
2016-12-06,131.33,0.0,0.0,0.0,0.0,0.0
2016-12-07,131.34,0.0,0.0,0.0,0.0,0.0
2016-12-08,130.7,0.0,0.0,0.0,0.0,0.0
2016-12-09,130.96,130.93,130.93,130.93,1.0,1.0
2016-12-12,130.63,130.61,130.61,130.6,10.0,11.0
2016-12-13,130.71,0.0,0.0,0.0,0.0,10.0
2016-12-14,130.88,0.0,0.0,0.0,0.0,10.0
